Codigo_CUOC,Nombre_Ocupacion,Nivel_Competencia
33412,Supervisores de entidades financieras / Supervisoras de entidades financieras,3
33413,"Supervisores y coordinadores de procesos de negocio, empleados de información y servicio al cliente / Supervisoras y coordinadoras de procesos de negocio, empleadas de información y servicio al cliente",3
33414,Supervisores de personal de correo y mensajería / Supervisoras de personal de correo y mensajería,3
33415,"Supervisores de almacenamiento, inventario y distribución / Supervisoras de almacenamiento, inventario y distribución",3
33416,Supervisores de operación de transporte ferroviario / Supervisoras de operación de transporte ferroviario,3
33417,Supervisores de operación de transporte terrestre (no ferroviario) / Supervisoras de operación de transporte terrestre (no ferroviario),3
33420,Secretarios jurídicos / Secretarias jurídicas,3
33431,Asistentes administrativos / Asistentas administrativas,3
33432,Asistentes de talento humano / Asistentas de talento humano,3
33433,Técnicos en archivística / Técnicas en archivística,3
33440,Secretarios médicos / Secretarias médicas,3
33510,"Inspectores de aduana, fronteras y migración / Inspectoras de aduana, fronteras y migración",3
33520,Agentes de administración tributaria,3
33530,Funcionarios e inspectores de servicios de seguridad social / Funcionarias e inspectoras de servicios de seguridad social,3
33540,Funcionarios e inspectores gubernamentales de expedición de licencias / Funcionarias e inspectoras gubernamentales de expedición de licencias,3
33551,Inspectores y detectives de policía / Inspectoras y detectives de policía,3
33552,Técnicos investigadores criminalísticos y judiciales / Técnicas investigadoras criminalísticas y judiciales,2
33553,Investigadores criminalísticos y judiciales / Investigadoras criminalísticas y judiciales,3
33590,Agentes de gobierno y profesionales del nivel medio para la aplicación de regulaciones no clasificados en otras ocupaciones,3
34111,"Asistentes de juzgados, tribunales y afines / Asistentas de juzgados, tribunales y afines",3
34112,Auxiliares de tribunales,2
34113,Asistentes legales y afines / Asistentas legales y afines,3
34119,"Técnicos y profesionales del nivel medio del derecho, de servicios legales y afines, no clasificados en otras ocupaciones / Técnicas y profesionales del nivel medio del derecho, de servicios legales y afines, no clasificadas en otras ocupaciones",3
34120,Trabajadores y asistentes sociales y comunitarios / Trabajadoras y asistentes sociales y comunitarias,3
34130,Auxiliares laicos de las religiones / Auxiliares laicas de las religiones,3
34210,Atletas y deportistas,3
34221,Entrenadores y preparadores físicos / Entrenadoras y preparadoras físicas,3
34222,Árbitros / Árbitras,3
34231,Instructores de educación física y recreación / Instructoras de educación física y recreación,3
34232,Recreadores / Recreadoras,2
34310,Fotógrafos / Fotógrafas,3
34320,Decoradores de interiores / Decoradoras de interiores,3
34331,Ocupaciones técnicas relacionadas con museos y galerías,3
34332,Técnicos en biblioteca / Técnicas en biblioteca,3
34333,Técnicos en promoción y animación a la lectura y la escritura / Técnicas en promoción y animación a la lectura y la escritura,3
34340,Chefs,3
34351,Otros técnicos de actividades artísticas / Otras técnicas de actividades artísticas,3
34352,Artistas corporales,3
34353,Auxiliares de producción de eventos y espectáculos,2
34354,Asistentes de dirección y producción en las artes escénicas y audiovisuales / Asistentas de dirección y producción en las artes escénicas y audiovisuales,3
34355,Técnicos y profesionales de nivel medio en producción de arte para actividades audiovisuales y escénicas / Técnicas y profesionales de nivel medio en producción de arte para actividades audiovisuales y escénicas,3
35110,Técnicos en operaciones de tecnología de la información y las comunicaciones / Técnicas en operaciones de tecnología de la información y las comunicaciones,3
35121,Técnicos en asistencia y soporte de tecnologías de la información / Técnicas en asistencia y soporte de tecnologías de la información,2
35122,Representantes de servicios especializados BPO (business process outsourcing),3
35130,Técnicos en redes y tecnologías de la información / Técnicas en redes y tecnologías de la información,3
35140,Técnicos de la web / Técnicas de la web,3
35211,Operadores de cámara de cine y televisión / Operadoras de cámara de cine y televisión,3
35212,Técnicos en transmisión audiovisual / Técnicas en transmisión audiovisual,3
35213,"Asistentes en cine, televisión y artes escénicas / Asistentas en cine, televisión y artes escénicas",3
35214,Técnicos de producción de audio y sonido / Técnicas de producción de audio y sonido,3
35215,Asistentes de producción de audio y sonido / Asistentas de producción de audio y sonido,2
35221,Técnicos en telecomunicaciones / Técnicas en telecomunicaciones,3
35222,Supervisores de telecomunicaciones / Supervisoras de telecomunicaciones,3
35223,Operadores de radio / Operadoras de radio,2
41101,Oficinistas generales,2
41102,Auxiliares de aduana,2
41200,Secretarios generales / Secretarias generales,2
41310,Operadores de máquinas de procesamiento de texto y mecanógrafos / Operadoras de máquinas de procesamiento de texto y mecanógrafos,2
41321,Grabadores de datos / Grabadoras de datos,2
41322,Digitadores / Digitadoras,2
42110,Cajeros de bancos y afines / Cajeras de bancos y afines,2
42120,Receptores de apuestas y afines / Receptoras de apuestas y afines,2
42130,Prestamistas,2
42140,"Cobradores, auxiliares de cartera y afines / Cobradoras, auxiliares de cartera y afines",2
